id,timestamp,exchange.timestamp,price,volume,action,direction
65595247,1430438404518,1430438404000,236.47,200000000,created,bid
65595247,1430438404635,1430438404000,236.47,178855669,changed,bid
65595187,1430438404637,1430438340000,236.47,0,deleted,ask
65595181,1430438405647,1430438337000,236.08,200000000,deleted,bid
65595206,1430438405828,1430438361000,235.10,1320000000,deleted,bid
65595248,1430438405943,1430438405000,236.11,200000000,created,bid
65595172,1430438406007,1430438333000,236.67,671355612,deleted,ask
65595249,1430438406082,1430438405000,235.45,1320000000,created,bid
65595238,1430438406223,1430438388000,234.96,371140000,deleted,bid
65595250,1430438406223,1430438405000,236.46,671355612,created,ask
65595247,1430438406337,1430438404000,236.47,0,deleted,bid
65595250,1430438406339,1430438405000,236.46,492499943,changed,ask
65595251,1430438406390,1430438406000,212.35,2070000000,created,bid
65595252,1430438406532,1430438406000,254.57,80000000,created,ask
65595253,1430438406683,1430438406000,234.92,368450000,created,bid
65595254,1430438406695,1430438406000,235.67,551000000,created,bid
65595227,1430438406825,1430438383000,236.64,379520000,deleted,ask
65595255,1430438407209,1430438406000,236.65,371480000,created,ask
65594686,1430438407501,1430438045000,243.58,27680000,deleted,ask
65595256,1430438408737,1430438408000,233.87,865557792,created,bid
65595257,1430438409129,1430438408000,232.68,6400000,created,bid
65595256,1430438409411,1430438408000,233.87,865557792,deleted,bid
65595254,1430438409666,1430438406000,235.67,551000000,deleted,bid
65595258,1430438410518,1430438410000,233.87,865219836,created,bid
65595258,1430438410546,1430438410000,233.87,865219836,deleted,bid
65595253,1430438410942,1430438406000,234.92,368450000,deleted,bid
65595250,1430438411132,1430438405000,236.46,492499943,deleted,ask
65595259,1430438411285,1430438411000,234.92,366040000,created,bid
65595260,1430438411424,1430438411000,236.63,492499943,created,ask
65595261,1430438411814,1430438411000,233.86,865238171,created,bid
65595261,1430438412462,1430438411000,233.86,865238171,deleted,bid
65595197,1430438412524,1430438346000,236.10,65172401,deleted,bid
65595262,1430438412842,1430438412000,236.13,65164121,created,bid
65595257,1430438412900,1430438408000,232.68,6400000,deleted,bid
65595263,1430438413116,1430438412000,233.84,865331370,created,bid
65595246,1430438414420,1430438398000,238.12,24000000,deleted,ask
65595264,1430438414512,1430438414000,233.85,794804807,created,bid
65595244,1430438414733,1430438394000,231.17,875665349,deleted,bid
65595264,1430438414736,1430438414000,233.85,794804807,deleted,bid
65595263,1430438414896,1430438412000,233.84,865331370,deleted,bid
65595260,1430438415789,1430438411000,236.63,492499943,deleted,ask
65595265,1430438416027,1430438415000,236.64,492499943,created,ask
65595251,1430438416042,1430438406000,212.35,2070000000,deleted,bid
65595252,1430438416348,1430438406000,254.57,80000000,deleted,ask
65595259,1430438417921,1430438411000,234.92,366040000,deleted,bid
65595266,1430438418045,1430438417000,233.81,865449821,created,bid
65595267,1430438418194,1430438417000,232.59,8000000,created,bid
65595266,1430438418272,1430438417000,233.81,865449821,deleted,bid
65595268,1430438418327,1430438418000,234.93,374210000,created,bid
65595255,1430438418613,1430438406000,236.65,371480000,deleted,ask
65595269,1430438418961,1430438418000,236.64,373900000,created,ask
65595248,1430438420354,1430438405000,236.11,200000000,deleted,bid
65595270,1430438420598,1430438420000,235.68,200000000,created,bid
65595271,1430438420871,1430438420000,233.81,865435564,created,bid
65595272,1430438421280,1430438421000,236.63,1320000000,created,ask
65595207,1430438421373,1430438362000,236.66,1320000000,deleted,ask
65595273,1430438421544,1430438421000,236.63,883518572,created,bid
65595273,1430438421661,1430438421000,236.63,0,deleted,bid
65595272,1430438421664,1430438421000,236.63,436481427,changed,ask
65595274,1430438422215,1430438421000,233.82,865394584,created,bid
65595268,1430438422684,1430438418000,234.93,374210000,deleted,bid
65595275,1430438422980,1430438422000,235.68,531600000,created,bid
